protname	26	27	28	29	30	31	32	33	34	35	36
L01	0.00347011	0.004293251	0.002759141	0.002898563	0.001870829	0.002579356	0.003429468	0.002439518	0.001959824	0.003500179	0.002412091
L02	0.002404163	0.002857738	0.002204541	0.001517893	0.001455214	0.002013046	0.00155	0.001817376	0.001414214	0.001469937	0.00224633
L03	0.00236784	0.0022	0.002227386	0.002751182	0.001112911	0.002442242	0.00195	0.001956329	0.001125	0.001897555	0.001603567
L04	0.002015254	0.001965415	0.002757716	0.001732051	0.0029666	0.001934123	0.005375872	0.001666667	0.0026	0.002796937	0.002973354
L05	0.002191347	0.002325511	0.0028	0.002057183	0.001674316	0.002894509	0.003968627	0.003265986	0.001847521	0.001466667	0.002118726
L06	0.002862167	0.003264659	0.001632993	0.00159099	0.0032	0.001603567	0.004030509	0.002280789	0.002687006	0.002482606	0.002533333
L07	0.00196774	0.001154701	0.002728003	0.000866025	0.002906888	0.002817446	0.003429286	0.002948123	0.0022	0.003925982	0.003889087
L09	0.00263856	0.00255	0.002816913	0.00311127	0.002321637	0.002367136	0.002684679	0.00346738	0.001844103	0.004157609	0.005669467
L10	0.004618802	0.00933381	0.001501111	0.00491935	0.001732412	0.002003212	0.004695743	0.002	0.00255	0.002191347	0.002041241
L11	0.0031	0.004101219	0.00125	0.002817446	0.00212132	0.005837951	0.00481733	0.00228619	0.00265165	0.004164133	0.003443545
L13	0.002418973	0.003348632	0.003021037	0.002165064	0.001775041	0.001550115	0.00130958	0.001420094	0.001760918	0.001760918	0.001523389
L14	0.004907477	0.00435	0.006350853	0.002433333	0.001261787	0.001581139	0.002107328	0.003067409	0.002087103	0.002181972	0.002404163
L15	0.002829016	0.005946708	0.00245	0.001347219	0.001666667	0.002571964	0.004203808	0.003741848	0.003590662	0.003919184	0.004286607
L16	0.000282843	0.0031	0.006639528	0.009064399	0.002694439	0.003637307	0.002946536	0.011512602	0.002793072	0.001923018	0.00196774
L17	0.003810512	0.005484828	0.004503332	0.002033333	0.002164816	0.002154397	0.002735264	0.002474874	0.001992235	0.003801316	0.002192031
L18	0.002370232	0.001673818	0.001918767	0.0022	0.002412946	0.0029	0.001417103	0.002899138	0.002510229	0.002948123	0.002262742
L19	0.003676955	0.003606245	0.002616295	0.003747666	0.001224745	0.00395	0.004156922	0.004879037	0.003818377	0.008717989	0.003130495
L20	0.00235	0.007495332	0.002828427	0.003137105	0.002222799	0.001566667	0.002433333	0.001449569	0.002966667	0.003266667	0.001663044
L21	0.003695042	0.002251666	0.003818377	0.00195	0.003667151	0.00565	0.001272792	0.0029	0.007563289	0.003283576	0.002082066
L22	0.00305	0.002057183	0.002280789	0.003309381	0.0023	0.003326087	0.005715476	0.00485	0.00234338	0.0032	0.003429286
L23	0.002817446	0.003264659	0.00445	0.0035	0.001714643	0.003061512	0.003674235	0.002482606	0.004561067	0.001796292	0.003347636
L24	0.00516188	0.003290897	0.0009	0.003755884	0.001776433	0.004531556	0.00244949	0.005947941	0.00205061	0.001414214	0.002899138
L25	0.002309401	0.001767767	0.00212132	0.014664697	0.00205	0.002939388	0.0074	0.010606602	0.003429286	0.001347219	0.002122891
L27	0.0027	0.0027	0.0027	0.0027	0.0027	0.003	0.00165	0.004214657	0.002146625	0.00363341	0.00105
L28	0.002367136	0.006524058	0.00305	0.002192194	0.001733333	0.002474874	0.004286607	0.004024922	0.002570158	0.002245217	0.003066667
L29	0.001674316	0.001674316	0.001674316	0.002136196	0.001674316	0.012091526	0.001674316	0.001674316	0.000494975	0.001558846	0.001674316
L30	0.002562846	0.002562846	0.003348632	0.001833576	0.005388877	0.002562846	0.004286607	0.001673818	0.002154397	0.002236068	0.004985103
L31	0.003181981	0.00523259	0.008909545	0.007390083	0.003061862	0.005456006	0.004024922	0.005798276	0.001212436	0.00415	0.004293251
L32	0.006524058	0.006524058	0.004101219	0.007919596	0.001272792	0.01105	0.002616295	0.006858936	0.014202817	0.00275	0.006524058
L33	0.005798276	0.007919596	0.003175426	0.00685	0.002122891	0.003532987	0.004907477	0.00080829	0.004204957	0.00815	0.001755468
L34	0.003309381	0.003309381	0.012232947	0.001212436	0.003265986	0.0045	0.003406367	0.004949747	0.001385641	0.003309381	0.0024
L35	0.002829016	0.002829016	0.002829016	0.0024	0.01251579	0.002829016	0.005	0.002829016	0.007778175	0.002829016	0.00175
L36	0.002944486	0.002944486	0.002944486	0.007159143	0.005656854	0.001131371	0.002944486	0.000848528	0.002829016	0.002944486	0.003579572
